10000.000000	256.257420718670
20000.000000	456.310361579061
30000.000000	657.293456614017
40000.000000	857.124575436115
50000.000000	1062.904159188271
60000.000000	1273.388734698296
70000.000000	1485.601795196533
80000.000000	1701.122716426849
90000.000000	1911.950813055038
100000.000000	2126.962461948395
110000.000000	2344.743472099304
120000.000000	2555.395899295807
130000.000000	2762.571163177490
140000.000000	2970.849537849426
150000.000000	3185.802488327026
160000.000000	3408.310079574585
170000.000000	3626.702649116516
180000.000000	3850.321907997131
190000.000000	4063.658985137939
200000.000000	4274.607265472412
210000.000000	4485.836011886597
220000.000000	4683.363681793213
230000.000000	4888.621482849121
240000.000000	5072.657381057739
250000.000000	5261.012510299683
260000.000000	5440.401609420776
270000.000000	5622.926330566406
280000.000000	5807.300670623779
290000.000000	5981.750560760498
300000.000000	6165.877090454102
310000.000000	6319.656536102295
320000.000000	6480.623249053955
330000.000000	6632.089046478271
340000.000000	6780.914375305176
350000.000000	6923.960796356201
360000.000000	7061.076843261719
370000.000000	7195.851455688477
380000.000000	7346.060516357422
390000.000000	7488.210723876953
400000.000000	7634.016761779785
410000.000000	7781.791969299316
420000.000000	7917.576911926270
430000.000000	8063.695091247559
440000.000000	8206.828186035156
450000.000000	8367.741226196289
460000.000000	8517.229461669922
470000.000000	8673.682876586914
480000.000000	8814.495231628418
490000.000000	8958.588760375977
500000.000000	9118.926330566406
510000.000000	9269.388244628906
520000.000000	9404.216415405273
530000.000000	9531.737823486328
540000.000000	9685.860031127930
550000.000000	9842.035644531250
560000.000000	10013.470108032227
570000.000000	10195.894790649414
580000.000000	10366.131805419922
590000.000000	10539.838516235352
600000.000000	10711.727722167969
610000.000000	10871.863265991211
620000.000000	11031.754791259766
630000.000000	11206.518676757812
640000.000000	11371.237915039062
650000.000000	11548.699111938477
660000.000000	11744.810043334961
670000.000000	11942.814727783203
680000.000000	12139.595642089844
690000.000000	12341.470062255859
700000.000000	12521.866775512695
710000.000000	12704.612289428711
720000.000000	12891.850997924805
730000.000000	13084.768753051758
740000.000000	13282.902648925781
750000.000000	13481.650878906250
760000.000000	13641.228668212891
770000.000000	13771.217895507812
780000.000000	13885.253051757812
790000.000000	13991.095336914062
800000.000000	14117.769714355469
810000.000000	14276.610626220703
820000.000000	14408.017028808594
830000.000000	14517.869903564453
840000.000000	14644.943572998047
850000.000000	14768.834777832031
860000.000000	14894.128143310547
870000.000000	15080.129669189453
880000.000000	15200.366119384766
890000.000000	15339.319610595703
900000.000000	15594.048736572266
910000.000000	15975.577209472656
920000.000000	16333.176239013672
930000.000000	16553.378723144531
940000.000000	16772.029541015625
950000.000000	17126.133941650391
960000.000000	17498.929626464844
970000.000000	17913.419403076172
980000.000000	18294.540527343750
990000.000000	19075.961029052734
